review,label
"nhận hàng quá thất vọng,đã nhắn nhờ shop giao balo hồng cho mình vì nhà có 2 bé gái vậy mà shop vẫn cố tình giao cho mình màu xanh. biết là giao ngẫu nhiên nhưng ngta đã nhờ thì nên giao đúng chứ..haiz",0
"sản phẩm sịn thấm nhanh, tiệp vào da, tạo 1 lớp màng bóng nhẹ, dùng rất thích tuy nhiên hiệu quả chống nắng không cao nha",1
"kinh nghiệm sử dụng:ok hương thơm:k mùi mẹo:k cos giao hàng nhanh đóng gói đầy đủ cẩn thận, chất lượng ọk",1
"t phải mua cả mấy chục chai tẩy trang này xài rồi, mua cả cho t và người thân ấy. ai cũng ưng tẩy siêu sạch dù là mascara, sale siêu rẻ chỉ tầm 150k 1 chai ý mà bth bên ngoài bán tận hơn 200 lận:smiling cat with heart eyes: tôi yêu loreal",1
ko nhận đc khuyến mại,0
"giao hàng nhanh, chất lượng sản phẩm ổn, mùi thơm dễ chịu không kích ứng da",1
"độ tuổi sử dụng:1t bao bì mẫu mã:bt chất lượng sản phẩm:bt lần nào mua 2 lon thì sẽ có 1 lon bị móp trong khi thùng đóng rất chắc chắn, có bọc xốp chống sốc chắc chắn chứng to sữa đã bị móp từ trước rồi mới giao cho khách nhé",0
hàng đẹp chất lượng tốt ! sẽ mua ủng hộ thêm ! cảm ơn shop idiekejtjfjf,1
"mẹo:dùng với nước tẩy trang kinh nghiệm sử dụng:su dung lau kho mat, bao bì:hop ly hàng dung mềm mại, đã, k bị bong trong săn giá 147k rẻ",1
"phù hợp với loại da:ok mùi hương:ok công dụng:ok mùi lạ hơn so vs nhiều lọ mình từng dùng nhưng k quá hắc, thơm nhè nhẹ thôi, dưỡng ẩm vừa phải k quá tốt",0
"son dùng thù cũng được, nhưng vẫn rate 1 vì quả campaign cổ xuý bạo lực phụ nữ",0
gói hàng quá sơ sài . họp móp méo đủ kiểu mà ko có nổi 1 miếng chống sốc. mang tiếng mua sale 15 8 mà đắt hơn ngày thường,0
"hương vị:. bao bì, mẫu mã kém chất lượng. đóng gói thiếu trách nhiệm làm cho một trong hai hộp sữa vận chuyển tới bị móp méo, thật sự là đóng gói như là không. mình đã góp ý với shop nhiều lần rồi nhưng vẫn không khắc phục được, đã vậy không biết tại sao hãng để chế tạo ra các kiểu mở hộp gì kỳ lạ vậy.",0
nghĩ shop nhiều lượt theo dõi r shop mall phải bán hàng sịn sò chứ mk về dùng thử mùi hắc và k mượt như mua ở siêu thị. quá thất vọng luôn . : đây là trải nghiệm hoàn toàn thực tế của mình chứ k phải nhà bán hàng nào cố ý cạnh tranh cả . tệ hơn chữ tệ,0
"chất kem mịn, thơm, lâu trôi nâng tông nhẹ",1
mẹo:ok lợi ích:ok hương thơm:ok sản phẩm ok nên mua nha mọi người .tôi luôn chọn unileve mua sn tâm lắm giá ok la,1
"kiểm soát dầu:tóc bết dã man bết làm sạch:công ty coi lại công thức với ạ, sp mới mà xài chán ơi là chán, tóc mau bết, mau ngứa, mua xong xài vài lần phần còn lại để đó ngó",0
"đặc ba hộp móp méo đủ ba,giống như là shop giao hàng móp",0
ko co kèm quà tặng như trên giới thiệu,0
mũ xinh lắm mn a giá củng okk form đẹp màu đẹpp in đẹp nch oklaa,1
"gói hàng quá ẩu, tặng quạt nón mà hư ko sài được",0
lúc quảng cáo thì nói mua tặng quà mà mua 2c chả tặng ji cả,0
k thây quà tặng nào cả,0
"túi đẹp, đóng gói kĩ nhưng túi bị lỗi đường chỉ có nt qua cskh nhưng shop hỗ trợ k linh hoạt. vì cần gấp nên mới nhận đỡ, sẽ không quay lại lần sau.",0
giao hàng nhanh chóng. không có quà tặng như quảng cáo nên so ra giá hơi chát á shop.,0
"giao diện chuyên nghiệp, mới dùng thấy ok, không bị khô da, nhẹ nhàng thoải mái",1
"mùi thơm thích lắm, nhiều gel k bị khô đâu ạ : hy vọng hiệu quả tránh thai chất lượng",1
"làm sạch:sachj da và giúp cải thiện mụn lưng hương thơm:mùi thơm siêu dễ chịu, lưu hương khoảng 1 2 tiêgn",1
nói là có sản phẩm tặng kèm mà thật ra không có . shop làm ăn không uy tín,0
làm sáng:lam sang da sau thời gian sd lâu dài thẩm thấu:nhanh ko bet dinh mờ thâm:tham nhẹ sẽ mờ đi sp dùng rất ưng ý,1
"giao thiếu hàng quà tặng, nhắn tin k phản hồi, shop phục vụ quá tệ, k ủng hộ tiếp theo",0
"kinh nghiệm sử dụng:hàng mình mua ghi thì có quà tặng , mở ra đâu thấy gì . mình mua hàng vì thấy có ưu đãi tặng kèm mà k thấy đâu, sp cũng ok đấy nma làm ăn như này mất uy tín lắm hương thơm:dịu nhẹ làm đẹp:mọi loại da hàng ok , thái độ shop rất tệ , mua vì quà tặng kèm . nma shop có tặng gì đâu , lừa đảo",0
"bao bì mẫu mã:ok công dụng:ok máy săn sale nên giá hời lứm. 2 nấc nóng lạnh, gập gọn ngon ơ luôn nhé. shop cbi hàng nhanh, dvvc giao nhanh. hnay đặt mai nhận luôn, quá tuỵt",1
về là bể 1bịch đổ từa lưa thuie nguyên thùng luôn,0
"lợi ích:dducoj hương thơm:cung thom làm đẹp:15, mun , viêm tr oii dungg ưngg nhaa cả nhà",1
"son lỏng như nước, màu lên không giống hình, màu thâm. làm mình tưởng mua phải hàng giả. phải kiểm tra lại xem mua đúng chưa. lúc mua không đọc đánh giá của mọi người, giờ đọc lại thấy nhiều người giống mình",0
phù hợp với loại da:ok mùi hương:ok công dụng:ok giá cả vừa phải mùi thơm dễ chịu dễ sử dụng k bị vón cục khá tốt dưỡng ẩm tốt,1
mình đang phân vân ko biết có phải hàng giả ko. mất tự tin khi mua shop. mùi quá hắc. bôi xong da dính nham nhắc. quá phí tiền. vứt đi tiếc. mà dùng thì chán,0
shop bảo tặng hàng mà về có lọ sữa tắm thôi à giao hàng nhanh nhưng nếu k tặng thì đừng đăng lên tặng hàng như thế khách dễ nhầm lẫn,0
đã nhận được sản phẩm đúng mô tả. nhưng ngày sản xuất cách ngày mua xa quá. mua tháng 11 2025 mà sản xuất tận tháng 9 2024. chắc sản phẩm này bán không chạy hay sao. ngày sản xuất ko in trên chai mà dán nhãn lên. cái này chắc để thay đổi ngày sản xuất cho dễ để lừa người tiêu dùng cho sản phẩm hết hạn.,0
"tem bị xé, lon bị móp trước khi đóng gói. ngày sản xuất cách đây 1 năm rưỡi. 1 sao hơi rẻ, 0 sao thì đẹp.",0
dưỡng ẩm:tooi thấy kem tốt khi cấp ẩm cho da kết cấu:chất kem thấm nhanh mùi hương:muif thơm,1
đóng gói chắc chắn nh shop đóng thiếu tẩy trang tặng hay sao ý,0
hàng chuẩn hình ảnh không liên quan shop uy tin mua ban chat luong tạm ổn,1
"giao hàng nhanhc đóng goid kỹ, tư vấn nhiệt tình, dẽ ủng hộ thêm",1
"dành cho da:moi loai da công dụng:duong da mùi hương:nhe shop giao hang nhanh, dong goi chac chắn, sản phẩm khá ổn, bao bì đẹp, lam dep da",1
âm thanh:ok độ bền:ok kết nối:ok shop giao hàng nhanh đóng gói sản phẩm tốt chất lượng sản phẩm tốt ok,1
kem mặt mà thơm nức xức lên nóng mặt ửng đỏ với bị mụn nc li ti là bị kích ứng rồi. mùi hương liệu nhìu quá dễ kích ứng là đúng r hông phù hợp. có nâng tông da bóng nhẹ mà đổ mồ hôi thì kem đi đường kem cái mặt tè le,0
lợi ích:gội xong là nhẹ hết đầu vì còn tóc đâu mà nặng gội là ngứa đầu tóc rụng từng mảng lớn săn trên live giá rẻ không nên mua,0
"dầu chảy ra ngoài nhiều , đóng gói rất kém, nhận sản phẩm mà cảm giác như mua phải hàng ko chính hãng, nhưng đã mua rồi nên cũng lười trả thôi",0
"trước mình dùng kem chống nắng loại cũ không sao mà giờ dùng thử loại mới thì da kích ứng đỏ khắp mặt, để 5 10 phút cũng không hết đỏ, thật sự rất thất vọng, không biết shop cho đổi đc không",0
"đã nhận được hàng. mùi thơm dịu nhẹ, mình săn sale mua 118k. giá cũng khá okela rồi. mong đợt sau shopee và shop sẽ có nhiều chương trình ưu đãi hơn nữa hihi",1
"hương vị:không ngon, mùi bao bì mẫu mã:xấu sữa thì sắp hết date, hàng giao thì bị rò rỉ sữa ra ngoài không hiểu đóng gói kiểu gì, rỉ rõ ra thế mà k xử lý cho khách, đừng ai mua hãng này, sữa ế ít người mua nên gần hết date bán rẻ, uống không ngon bằng vinamilk ,không được một phần của vinamilk",0
hình ảnh không liên quan do mình lười chụp.shop đóng gói rất cẩn thận.sữa ngon.,1
ghi chú có kèm hàng tặng mà k có. buôn bán kiểu gì kì cục,0
"bao bì mẫu mã:sữa tươi dutch lady hương vị:không đường thùng sữa giao tới trong tình trạng còn nguyên vẹn, không bị móp méo hay bị ỉu. thùng còn nguyên seal, không bị bong tróc nhờ đóng gói kỹ. bảng thành phần sữa có nhiều chất, hương vị sữa thơm ngon dù là loại không đường. phù hợp với trẻ nhỏ",1
"hàng giao tới lỏng lẻo, tụt chốt. phải dùng băng keo dán lại vì ngại đổi trả",0
"review nhẹ một số dòng sữa con uống tăng cân tốt cho cm quan tâm grow đỏ: bé uống dễ tiêu hóa tuy nhiên bé nào uống hạp thì lên kg tốt, k hạp sữa thì k cải thiện nhiều dòng meiji là sữa mát, sữa nội địa nhật, không lo bón nhưng giá khá cao vs không phải bé nào uống cũng lên kg tốt friso: sữa dễ tiêu hóa, vị nhạt thanh gần như sữa mẹ, khá dễ uống, con uống output đẹp. có thể dùng làm sữa chua hoặc làm bánh cho con đều oki cả oggi: sữa giúp bé tăng cân tốt, ko bón, lên tầm 5 6 lạng tháng, có nhiều vị để thay đổi cho con,ngoài ra dòng này còn có cả sữa công thức pha sẵn có thể tùy khẩu vị để lựa chọn cho bé muốn con lên cân thì ngoài sữa công thức thì chế độ ăn hàng ngày của bé cũng quan trọng không kém, bổ sung đầy đủ các nhóm chất là việc nên làm để con có thể tăng kg tốt hơn. mẹ nào cần có thể tham khảo",1
"thất vọng naz, giao hàng quá lâu. hộp móp hết 1 bên khs đặt tnao mà lại từ hcm bt là từ bắc ninh cơ. bé đang hết sữa nên k kịp để hoàn hàng. giá cả tăng giảm thất thường k có mgg để áp ngày sale. k có quà tặng gì cho bé. chê naz",0
"mẫu mã đẹp, sữa ngon",1
"đóng gói quá sơ sài,chưa thấy shop nào đóng gói sản phẩm cẩu thả như vậy,hộp bên ngoài thì cũ,nhàu nát,như kiểu cho sản phẩm vào hộp cũ xong đóng gói gửi cho khách,chưa sử dụng nhưng nhận hàng mở ra là đã thấy không hài lòng,quá thất vọng.",0
độ đều màu:tạm ổn nâng tông:hơi hơi chất lượng:thama nhanu chất kem lót có màu đỏ ở trong ý k hiwuwr sao lun,0
"chất lượng sản phẩm:chât lượng sản phẩm tốt, dễ sử dụng, bền đẹp đúng với mô tả:sản phẩm đúng với mô tả",1
"sữa dưỡng mùi thơm, bôi lên da ko bị nhớp dính, dùng cho cả bé và mẹ nhé,",1
"sản phẩm quá tệ,quá cứng,lắp vào điện thoại sẻ bị trầy,ko nên mua phí tiền",0
hương thơm:thơm nhẹ lợi ích:sáng da thơm nhẹ kem sữa chua chồng năng nữa thẩm thấu nhanh xài nửa hộp thấy đã có tiến chiến,1
kinh nghiệm sử dụng:mik dùng bản cũ thấy hơi dính còn bản mới này thì chx dùng chx bt ntn nhm mùi thì thơm k bị nhiều cồn như bản cũ hương thơm:tạm vx hơi cồn,1
mua 1 cái giao 1 cái khác,0
shop giao siêu nhanh nha..còn đc tặng nước tẩy q.áo và 2 chai xịt thơm nữa,1
"đóng xốp bọc k kĩ nha, chai dán băng dính bọc từ đầu đến cuối chai, bẩn tèm nhem, chả biết như nào nhưng thấy nvay cũng k ổn, shop nên xem lại cách đóng, này là mình săn được nên cũng thôi!",1
"giao hàng nhanh, đíng gói hàng kĩ, sản phẩm chất lượng phù hợp",1
ship giao quá chậm. đảm bảo 15 nhận mà tới 19 lun.con khát sữa,0
đối tượng sử dụng:cho em bé nhma mình dùng rất thích mùi hương:thơm chất lượng sản phẩm:tuyệt vời ước có vòi xịt để xịt dễ hơn còn lại thì tuyệt vời ạ,1
eo ơi. hối hận vì đã mua. xài xong ngứa muốn điên. gội xong tóc khô gàu bay như mưa. ngày nào cũng phải gội ko là bóng dính luôn,0
hương vị:sản phẩm bị thủng mất chất lượng bên trong kém,0
shop gửi nhầm hàng muốn hoàn đổi lại hàng thì bên vận chuyển mãi không đến lấy hàng hoàn chán,0
"hàng đẹp, giao hàng nhanh đóng gói cẩn thận. shop hỗ trợ rất nhiệt tình. shipper giao hàng rất nhiệt tình. 5 sao cho dịch vụ vận chuyển.",1
bao bì:tot kinh nghiệm sử dụng:tam xong su dung mẹo:cu tam xong xai thoi cảm giác không đầm tay như cái đầu tiên mình mua nhẹ nhẹ hơn bi trầy nhẹ thấy ko oke lắm lần này cho shop 8đ vì giao hàng nhanh,0
"mua được sữa với giá hời , hàng chính hãng nen yen tam mua cho con ạ",1
"1. date quá cũ, tháng 10.2023 nghĩa là chỉ còn hơn 6 tháng nữa. 2. shopee đóng gói quá ẩu, mall mà không hề chèn lót gì hết.",0
mùi hương:ok công dụng:ok dành cho da:ok đứa em gái đọc 7749 cái review và bắt tui mua dòng có vạch đỏ này để phục vụ cho công cuộc bảo vệ làn da những ngày tháng chuẩn bị treatment sắp tới.,1
s k có quà tặng. trên hình có quà mà,0
mua 1 tặng 3 mà k thấy tặng á,0
"làm đẹp:no mẹo:no kinh nghiệm sử dụng:no chưa dùng nhưng phải vô đánh giá dịch vụ tệ cho shop mang tiếng shop mall nhưng làm ăn rất chán lần đầu đặt đơn srm thấy ok nên mới đặt tiếp tẩy trang mà lần 2 đặt tự nhiên mới đến kho shipper đã báo hoàn hàng về, mình cứ đổ lỗi cho shipper hóa ra nay đặt lần 3 mới biết lỗi do shop ship từ cuối vn lên đầu vn mà k cho 1 miếng chống xóc nào, vứt nguyên cái chai vô hộp rõ mỏng, đến nơi cái hộp nát như kia, đến miếng dán còn nhăn nhó, may hơn lần trước là chai k bị nứt chảy nước đã bị 1 lần rồi nên ngay khi đặt đơn cũng đã note shop, sau đó lại gửi tin nhắn lần nữa, cskh hứa nọ hứa kia nhưng nhận đơn đâu vẫn vào đó trong khi shop khác cùng tỉnh họ bọc cho mấy lớp chống xóc mà sản phẩm còn chả phải dạng lỏng, thì đây ship rõ xa sản phẩm còn dạng nước nhưng thấy bọc trông chán không shop nên xem lại nhân viên kho chứ cứ bọc kiểu này shop sẽ mất hết khách kể cả có là shop mall chính hãng đi nữa người ta cũng không quay lại điển hình là mình nhé!",0
"mẹo:k meo lợi ích:kcn kinh nghiệm sử dụng:cach 4 tieng săn sale hà linh giá rẻ, dưỡng ẩm rất ổn. canh săn mua 2 giá quá hời nên mua nha mọi người",1
"sản phẩm tốt, giao hàng nhanh, được tặng quá trời quà.",1
"không hiểu sao giao thùng sửa bị ướt và 1 hộp bị phồng lên như kiểu sắp hết hạn, xem date thì vẫn còn xa. bị vỡ 1 hộp nên chảy ra các vỉ xung quanh nên có mùi chua, mình phải tháo hết ra rửa và lau lại từng hôph. shop xem kỹ hàng và chọn đơn vị vẫn chuyển uy tín chứ ko bán hàng như này ko dám quay lại mua lần nữa thật.",0
bình luận chỉ mang tính chất nhận xu shop đóng gói cẩn thận nhé anh đi shop đóng gói cẩn trọng khi sử của mình để làm cho chi,1
"giao hàng lâu, đến khi nhận hàng thì bị rách nắp, kiểm tra không kĩ đã giao cho khách, do mình cần dùng luôn nên cũng ngại đổi trả. nó",0
đóng gói hàng rất xinh ạ,1
đóng gói hàng cẩu thả vô cùng,0
"thiết kế đẹp nha, máy nhỏ gọn , công xuất mạnh , thanks shop nhiều nhé",1
k biết do shop đóng gói sơ sài nên khi vận chuyển nó bị nv hay là hàng trưng bày. chắc k có lsau quay lại shop nữa,0
chất lượng sản phẩm:tốt độ tuổi sử dụng:em be mùi hơi nồng giống một loại dầu gội nào đó thấm khá nhanh,1
"kính nhỏ hơn, không khớp với kích thước màn hình. viền đen của miếng dán bị nhỏ hơn viền màn hình.",0
"bỏ ra hộp rách, không có quà tặng kèm theo ?? do đóng hàng hay do giao hàng. cũng đánh giá bên giao hàng 1 rồi",0
"kem thẩm thấu khá nhanh, không gây bết dính. dùng vài ngày thấy da mềm và ẩm hơn, không bị kích ứng. mùi dịu nhẹ, dễ chịu. bao bì chắc chắn, giao hàng đầy đủ, đúng hạn. sẽ cân nhắc mua lại nếu hợp lâu dài.",1
"công dụng:tay trang độ bền màu:ko để ý hãg đóng hàng và giao cực nhanh, 2 đơn mình đặt do đơn t2 này đặt cuối tuần nên thứ 2 mới nhận dc mà vẫn nhanh lắm, sp miễn chê, chai thứ mấy chục r, xài liên tục 3 4 năm nay, làm sạch tốt, trộm vía hạp da nên ko kích ứng, săn sale rẻ nữa, đỉnk",1
"đúng với mô tả, shipper thân thiện phù hợp với giá tiền giao dúng hạn",1
"t đặt 2 túi 2 địa chỉ, 1 túi đã giao, 1 túi bán hết t ntin hỏi có giao kh để t huỷ đặt câi khác thì kêu giao, đến lúc t vô check thì thấy món t đặt hết rồi không giao và tự huỷ do shop k giao cho bên vận chuyển. chưa bàn tới chất lượng chứ thấy cách pvu là t chê rồi. 1 sao nhé",0
"bút viết khá em nhưng dễ bị tắc mực nha, giao hàng nhanh, nchung cũng ổn",1
hàng lỗi mà cũng gửi nữa hả ??,0
"chất lượng giao hàng quá kém, cho shop 7ng mà k thấy phản hồi giải quyết, mua hư hết tận 5 hộp, ae có mua hàng thì cân nhắc nhé!",0
"đóng gói như không gói, giao nhanh",0
ko biết bị xì chỗ nào mà chảy sữa dính tùm lum ạ,0
"dành cho da:thieu nuoc da dau công dụng:abcde mùi hương:ổn gói hàng sơ xài vỡ mất nắp của lọ kem , shop cần chú ý cho các lần sau",0
sao ghi là tặng quà mà mình mua không được tặng gì vậy:,0
"đóng gói k chắc chắn, có bịch bị bục nên có mùi sữa hỏng phải bỏ đi chục túi",0
dưỡng ẩm:ok mềm mịn:dep hương thơm:khong mui dung ok lam ạ mình mua rat nhieu lan gia re nè,1
"chất lượng sản phẩm:l đóng gói cẩn thận,giao hàng nhanh",1
"đóng gói sơ sài, không có được cái hộp đựng chai kem nền , thua chai 100 mấy bạn tui mua nữa, do cần gấp nên mới k trả hàng",0
"chất son:ok màu sắc:ok chất son đẹp, mướt, lên màu rõ, che viền môi, nhưng màu này phải có makeup hoặc",1
"hàng mua link sản phẩm có được tặng quà nhưng k nhận được, hỏi shop thì trả lời vòng vo k đúng mục đích câu hỏi . nhận hàng thất vọng vì là 1 shop uy tín nhưng sản phẩm không có vỏ hộp hay tem mác gì, không rõ ngày sản xuất. ghi là hàng nhập nhưng k có bill gì.",0
giao hàng sản phẩm cũ cả năm. mà còn bị móp. xét nữa. cả năm rồi..,0
"mùi hương:. chất lượng sản phẩm:. đối tượng sử dụng:. sản phẩm đúng mẫu, hàng ok nha, đáng để mua, giao nhanh nữa ,..",1
chất lượng sản phẩm:ok bao bì mẫu mã:đẹp độ tuổi sử dụng:11 tháng,1
"đóng gói đẹp giao nhanh bao bì đẹp, nhỏ xinh lần đầu mua thử 1 thương hiệu của việt nam. mong là ok phù hợp nha update: xài chán nha, thà mua mấy thương hiệu của nước ngoài. chứ hãng này mới mà giá cũng đâu rẻ đâu. trải nghiệm không có cảm giác gì ngoài khó chịu",0
"bao bì mẫu mã:đúng hương vị:dâu đóng hàng ẩu,bọc có 1 lớp,trong khi là sữa bịch.bể lum la",0
"hình ảnh mang tính minh hoạ. sữa ok, đóng gói khá cẩn thận, ko bị bục sữa",1
"mình rất hài lòng với sản phẩm mua trên shopee. hàng giao nhanh, đóng gói cẩn thận, sản phẩm đúng mô tả và chất lượng tốt so với giá tiền. sử dụng thấy rất ổn, không có lỗi. shop tư vấn nhiệt tình, phản hồi nhanh. sẽ ủng hộ shop trong những lần mua sau. hình ảnh chỉ mang tính chất nhận xu",1
"hương vị:ngon bao bì mẫu mã:đẹp đúng,đủ hàng mình mua được sale cả ship là 73k 1kg luôn",1
mùi hương:không dùng nên không biết công dụng:làm sạch đóng gói cẩn thận có hướng dẫn sử dụng giao hàng nhanh giá tiền hợp lý,1
bao bì mẫu mã:ok hương vị:thoem giá rẻ nhé.sản phảm phù hợp giá tiền. mua cho con rất thích. nhưng la nhựa nên khi cắt khó và xấu,1
"mình đã yêu cầu cần op có màng bọc tất cả cam lại , shop ok mình mới đặt, nhận hang thi thấy ko co che cam nào cả, thất vọng",0
"đóng gói tệ ơi là tệ, không quấn chống sốc hay j cả, shop mall mà làm ăn thất trách",0
hàng giao bị thiếu quà tặng kèm,0
"mua lần này ko phải lần đầu , nhưng sản phẩm bị rách , không kiểm tra trc khi gửi hàng cho khách . liên hệ shop shop hỗ trợ hoàn đổi nhưng mình thấy quá mất thời gian .",0
"máy dùng hiện tại khá tốt có 3 chế độ thay đổi linh hoạt thiết kế cx gọn gàng, dễ mang đi đâu đó nên mua nhé mn ơi hình minh hoạ thôi ạ",1
"shop ơi hàng mình đi tặng mà shop đóng gói cho mình như này ạ. túi form đẹp, sang mà chất lượng hàng đến tay nguyên một vệt đen bẩn và khâu đóng gói thì thất vọng vô cùng.",0
thiếu quà tặng kèm nên tính ra đơn hàng mua sale cũng k rẻ bằng mua thường,0
"đóng hàng ko cẩn thận sữa bị vỡ , ướt các bịch gần đó thối um cả lên",0
làm đẹp:dưỡng da lợi ích:sáng và đẹp bao bì:đẹp không thơm. xài thường da đẹp trị thâm nám tầm 70 thôi. mua kèm và thuốc uống kèm,1
"hàng giống với quảng cáo, mình sấy thấy cũng khỏe và ấm, đã test đủ các chức năng, giao hàng nhanh chóng",1
"giao hàng nhanh, chưa dùng nên chưa biết sao hình ảnh chỉ mang tính chất minh họa",1
"đóng gói keo nha, cái tuýp kem nó to thì lấy hộp to hơn xíu đựng cho nó thẳng sản phẩm không dc hở shop? . mặc dù biết là có bọc nilon quấn kĩ nhưng lỡ nó bể chảy kem ra thì sao? cầm tuýp kem bẹo hình bẹo dạng phát chán. quan trọng: sản phẩm có nsx cũ, từ đầu năm 2024 đến giờ là đã dc 02 năm rồi. mặc dù hsd còn tới năm 2026, nhưng mình cũng không ưng cho lắm. đồ đạc để lâu mà là hàng mỹ phẩm thì dễ bị xỉn màu bên trong lắm.",0
"chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm đẹp, giao hàng nhanh",1
"sữa date t12 24. 2 combo 2 đơn khác nhau, combo bên trái đóng gói quá sơ sài, chỉ để trong hộp carton và lót 2 miếng túi khí ở trên ở dưới. khi nhận hàng thì hộp ngoài móp tứ phía, hộp sữa thì móp trên dưới. 1 cho nhân viên gói hàng. combo bên phải thì bọc 2 lớp nilong, chống sốc kỹ càng.",0
